Product ID,Product Category,Product Subcategory,Product Name,Product Description, Product Price ,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method
1006,Touring Bikes,Long Distance,Explorer 2000,Advanced touring bike," $1,600 ",24,L,2006,3006,06/03/2023,Shipped,1,1600,Credit Card
1041,Mountain Bikes,Fat Bikes,FatTrail 1000,All-terrain fat bike," $1,300 ",32,M,2041,3041,11/03/2023,Shipped,2,2600,Credit Card
1042,Mountain Bikes,Fat Bikes,FatTrail 2000,High-performance fat bike," $1,600 ",29,L,2042,3042,12/03/2023,Processing,1,1600,PayPal
1065,Touring Bikes,Folding,FoldAway 1000,Compact folding touring bike," $1,500 ",30,M,2065,3065,05/03/2023,Processing,2,3000,PayPal
1066,Touring Bikes,Folding,FoldAway 2000,Advanced folding touring bike," $1,800 ",28,L,2066,3066,06/03/2023,Shipped,1,1800,Credit Card
1103,Bmx Bikes,Freestyle,FreestyleMaster 1000,Beginner freestyle BMX bike, $400 ,25,M,2103,3103,03/02/2023,Cancelled,3,1200,Credit Card
1104,Bmx Bikes,Freestyle,FreestyleMaster 2000,Advanced freestyle BMX bike, $600 ,23,L,2104,3104,04/02/2023,Shipped,1,600,Credit Card
1063,Road Bikes,Gravel,GravelMaster 1000,All-terrain gravel bike," $1,700 ",22,M,2063,3063,03/03/2023,Cancelled,3,5100,Credit Card
1064,Road Bikes,Gravel,GravelMaster 2000,High-performance gravel bike," $2,100 ",20,L,2064,3064,04/03/2023,Shipped,1,2100,Credit Card
1007,Mountain Bikes,Downhill,GravityMaster 1000,Rugged and durable downhill bike," $2,200 ",29,M,2007,3007,07/03/2023,Shipped,2,4400,PayPal
1008,Mountain Bikes,Downhill,GravityMaster 2000,," $2,500 ",27,L,2008,3008,08/03/2023,Processing,1,2500,Credit Card
1101,Kids Bikes,Balance,LittleBalancer 1000,Starter balance bike for kids, $150 ,10,M,2101,3101,01/02/2023,Shipped,2,300,Credit Card
1102,Kids Bikes,Balance,LittleBalancer 2000,Upgraded balance bike for kids, $200 ,9,L,2102,3102,02/02/2023,Processing,1,200,PayPal
1021,Mountain Bikes,Trail,Pathfinder 1000,Agile trail bike for all skill levels," $1,100 ",24,M,2021,3021,21/03/2023,Shipped,2,2200,Credit Card
1022,Mountain Bikes,Trail,Pathfinder 2000,High-performance trail bike," $1,400 ",21,L,2022,3022,22/03/2023,Processing,1,1400,PayPal
1085,Touring Bikes,Recumbent,ReclineRider 1000,Comfortable recumbent touring bike," $2,000 ",33,M,2085,3085,23/02/2023,Processing,2,4000,PayPal
1086,Touring Bikes,Recumbent,ReclineRider 2000,High-performance recumbent touring bike," $2,400 ",30,L,2086,3086,24/02/2023,Shipped,1,2400,Credit Card
1003,Road Bikes,Racing,SpeedMaster 1000,Agile and aerodynamic road bike," $1,800 ",18,S,2003,3003,03/03/2023,Cancelled,3,5400,Credit Card
1004,Road Bikes,Racing,SpeedMaster 2000,Premium racing road bike," $2,100 ",16,L,2004,3004,04/03/2023,Shipped,1,2100,Credit Card
1001,Mountain Bikes,Cross Country,TrailBlazer 1000,Lightweight and versatile," $1,200 ",25,M,2001,3001,01/03/2023,Shipped,2,2400,Credit Card
1002,Mountain Bikes,Cross Country,TrailBlazer 2000,High-performance mountain bike," $1,500 ",22,L,2002,3002,02/03/2023,Processing,1,1500,PayPal
1061,E-Bikes,City,UrbanEco 1000,Eco-friendly electric city bike," $2,000 ",35,S,2061,3061,01/03/2023,Shipped,2,4000,Credit Card
1062,E-Bikes,City,UrbanEco 2000,High-performance electric city bike," $2,500 ",33,L,2062,3062,02/03/2023,Processing,1,2500,PayPal
1023,Road Bikes,Touring,Voyager 1000,Comfortable touring road bike," $1,700 ",20,M,2023,3023,23/03/2023,Cancelled,3,5100,Credit Card
1024,Road Bikes,Touring,Voyager 2000,Advanced touring road bike," $2,000 ",18,L,2024,3024,24/03/2023,Shipped,1,2000,Credit Card
1105,Mountain Bikes,Cross Country,XC-Rider 1000,Cross country mountain bike," $1,800 ",29,M,2105,3105,05/02/2023,Processing,2,3600,PayPal
1106,Mountain Bikes,Cross Country,XC-Rider 2000,High-performance cross country bike," $2,400 ",27,L,2106,3106,06/02/2023,Shipped,1,2400,Credit Card
